2023年3月20日17点56分39秒	1-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=656049028857
2023年3月20日18点32分13秒	211-怪医生 远红外磁疗贴膏 肩周炎滑膜炎关节疼痛腰椎间盘突出膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=673651701253
2023年3月20日18点32分16秒	212-【买2送1/3送2】王大妈消i痛冷敷贴10贴/盒小贴装-tmall.com天猫https://item.taobao.com/item.htm?id=680865956425
2023年3月20日18点32分19秒	213-验证码拦截https://item.taobao.com/item.htm?id=679006740115
2023年3月20日18点32分23秒	214-三七贴百年艾灸贴颈椎肩颈热敷贴发热膝盖腰椎姜黄扁氏官方旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=667503310318
2023年3月20日18点32分30秒	215-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=666715669467
2023年3月20日18点32分33秒	216-百年穆氏艾草颈椎贴腰椎护颈扁艾灸发热热敷肩颈肩周贴膝盖帖膏-tmall.com天猫https://item.taobao.com/item.htm?id=604373446315
2023年3月20日18点32分37秒	217-骨质增生骨刺贴膏专用膏贴去疼痛退行性改变膝盖关节颈腰椎足根痛-tmall.com天猫https://item.taobao.com/item.htm?id=564492192921
2023年3月20日18点32分40秒	218-白云山老黑膏膝盖关节酸痛扁氏广药艾灸腰椎盘突出肩周疼痛颈椎贴-tmall.com天猫https://item.taobao.com/item.htm?id=670694685086
2023年3月20日18点32分43秒	219-验证码拦截https://item.taobao.com/item.htm?id=560552344922
2023年3月20日18点32分47秒	220-腰痛腰疼腰间盘突出专用非药膏特效腰肌劳损贴膏克星腰椎间盘突出-tmall.com天猫https://item.taobao.com/item.htm?id=683754923512
2023年3月20日18点32分50秒	221-验证码拦截https://item.taobao.com/item.htm?id=656988499137
2023年3月20日18点32分57秒	222-滑膜舒康黑膏贴张贴坐骨腰椎间盘膝关节肩周腰颈椎护腰护颈-tmall.com天猫https://item.taobao.com/item.htm?id=662488432520
2023年3月20日18点33分3秒	223-觉明太昊新白马寺痛消贴正品远红外贴筋骨腰椎颈椎膏药肩周贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=590429845752
2023年3月20日18点33分6秒	224-【乐普】远红外磁疗贴腰椎颈椎肩周炎膏腰间盘突出膝盖劳损药膏-tmall.com天猫https://item.taobao.com/item.htm?id=675453938373
2023年3月20日18点33分13秒	225-验证码拦截https://item.taobao.com/item.htm?id=598445926691
2023年3月20日18点33分16秒	226-太昊新白马寺痛消贴觉明正品远红外贴腰椎间盘突出肩周炎贴膏WD-tmall.com天猫https://item.taobao.com/item.htm?id=629747163203
2023年3月20日18点33分20秒	227-验证码拦截https://item.taobao.com/item.htm?id=638174900923
2023年3月20日18点33分23秒	228-腰间盘专用膏贴突出腰椎疼痛压迫神经腰疼腿麻腰部劳损腰酸贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=670668256871
2023年3月20日18点33分27秒	229-验证码拦截https://item.taobao.com/item.htm?id=687737429537
2023年3月20日18点33分30秒	230-广西衍恩堂冷敷理疗贴膏官网正品颈椎腰椎医用冷敷贴腰腿肩周膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=623341105260
2023年3月20日18点33分37秒	231-艾草腰椎盘贴膏腰痛腰疼突出屁股疼膏药贴小腿痛麻专用腰间盘贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=619150614748
2023年3月20日18点33分40秒	232-买1送1】81味济圣汉方远红外贴关节疼痛肩颈腰椎膏药贴官方正品zy-tmall.com天猫https://item.taobao.com/item.htm?id=660967880386
2023年3月20日18点33分43秒	233-南京同仁堂绿金家园艾草颈椎贴膝盖腰椎贴生姜艾灸旗舰店XL-tmall.com天猫https://item.taobao.com/item.htm?id=640716164535
2023年3月20日18点33分50秒	234-白云山颈椎贴艾草贴正品富贵包肩周膝盖腰椎艾灸热敷帖旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=662090849807
2023年3月20日18点33分56秒	235-泰宝痛消灵静电离子感应痛消贴颈椎病肩周炎腰椎间盘突出专用贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=17772716639
2023年3月20日18点34分0秒	236-日本腰间盘专用膏药贴腰椎贴压迫神经疼腰疼腿麻腰椎部位型冷敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=667877453547
2023年3月20日18点34分6秒	237-【50贴/盒】艾草腰椎贴艾草艾腰贴艾灸贴颈椎官方旗舰店官网正品-tmall.com天猫https://item.taobao.com/item.htm?id=678426539187
2023年3月20日18点34分12秒	238-康灵腰椎贴帮磁疗贴腰椎型膏贴腰痛腰疼压迫神经正品-tmall.com天猫https://item.taobao.com/item.htm?id=650813691387
2023年3月20日18点34分19秒	239-吕家医用冷敷贴贴膏官网 新吕家贴正品-tmall.com天猫https://item.taobao.com/item.htm?id=661179627580
2023年3月20日18点34分22秒	240-北京同仁堂正品艾灸艾草颈椎贴膝盖非三伏灸贴热敷腰椎贴肩颈帖tx-tmall.com天猫https://item.taobao.com/item.htm?id=625521939558
2023年3月20日18点34分26秒	241-王氏医用冷敷贴官方正品官网颈椎腰椎间贴坐骨神经贴老王黑膏贴家-tmall.com天猫https://item.taobao.com/item.htm?id=675650432050
2023年3月20日18点34分29秒	242-颈椎贴腰椎贴肩周腰间盘压迫坐骨神经疼痛腰疼腿疼屁股疼大黑膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=644778756288
2023年3月20日18点34分36秒	243-舒源远红外理疗贴6贴 肩周炎腰椎间盘突出骨性关节炎腰肌劳损WH-tmall.com天猫https://item.taobao.com/item.htm?id=680556208761
2023年3月20日18点34分39秒	244-安阳明家老铺穴位压力刺激贴药黑膏贴疼关节疼痛颈腰椎间盘疼痛贴-tmall.com天猫https://item.taobao.com/item.htm?id=674726490209
2023年3月20日18点34分42秒	245-日本腰间盘专用膏药贴腰椎压迫神经突出腿疼屁股痛腰部疼痛冷敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=644257269060
2023年3月20日18点34分46秒	246-验证码拦截https://item.taobao.com/item.htm?id=605217244050
2023年3月20日18点34分52秒	247-验证码拦截https://item.taobao.com/item.htm?id=542917594352
2023年3月20日18点34分56秒	248-舒古通今远红外理疗贴缓解腰椎间盘突损伤颈椎病贴膏可选正品-tmall.com天猫https://item.taobao.com/item.htm?id=649542129350
2023年3月20日18点34分59秒	249-同仁堂正品艾草腰椎贴艾叶艾灸非自发热腰酸痛热敷贴膏发热暖腰贴-tmall.com天猫https://item.taobao.com/item.htm?id=631139163021
2023年3月20日18点35分5秒	250-【天猫正品】叁仁行御骨贴穴位压力刺激贴7贴/盒-tmall.com天猫https://item.taobao.com/item.htm?id=678764279990
2023年3月20日18点35分9秒	251-苏宁宜品屋顶花园暖颈贴8袋/盒艾灸艾叶生姜关节疼痛腰椎肩颈椎贴-tmall.com天猫https://item.taobao.com/item.htm?id=665160721378
2023年3月20日18点35分12秒	252-验证码拦截https://item.taobao.com/item.htm?id=673964629143
2023年3月20日18点35分16秒	253-北京同仁堂内廷上用艾草颈椎贴膝盖腰椎贴男女通用旗舰店正品1WW-tmall.com天猫https://item.taobao.com/item.htm?id=650176532468
2023年3月20日18点35分19秒	254-暖姬艾腰贴艾草腰椎贴发热贴腰间盘官方旗舰店正品艾灸贴精油热敷-tmall.com天猫https://item.taobao.com/item.htm?id=630118524129
2023年3月20日18点35分22秒	255-买2送1】德康赵远红外理疗贴5贴/盒-tmall.com天猫https://item.taobao.com/item.htm?id=675455309184
2023年3月20日18点35分26秒	256-固养元医用冷敷贴10贴/盒（天猫正品）肩周颈椎腰椎关节疼痛贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=677004493634
2023年3月20日18点35分29秒	257-北京同仁堂怡美堂远红外理疗贴腰椎间盘突出症肩周炎颈椎病膏贴AT-tmall.com天猫https://item.taobao.com/item.htm?id=683547478348
2023年3月20日18点35分36秒	258-一代宗师腰椎间盘突出膏腰肌劳损风湿关节肩周炎颈椎膏药贴腰疼贴-tmall.com天猫https://item.taobao.com/item.htm?id=622987354782
2023年3月20日18点35分39秒	259-肩周炎颈椎病腰椎盘突出疼痛专用贴膏药特效贴理疗艾灸热敷僵直贴-tmall.com天猫https://item.taobao.com/item.htm?id=680588890975
2023年3月20日18点35分45秒	260-天猫正品】蜂语堂麻必康黑膏贴10贴坐骨腰椎间盘膝关节肩周颈椎腰-tmall.com天猫https://item.taobao.com/item.htm?id=671566587900
2023年3月20日18点35分52秒	261-验证码拦截https://item.taobao.com/item.htm?id=658191662339
2023年3月20日18点35分58秒	262-修正腰椎间盘突出专用膏药贴膏腰椎部位型腰肌劳损贴腰痛腰疼贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=577031914287
2023年3月20日18点36分5秒	263-艾六天通络贴-tmall.com天猫https://item.taobao.com/item.htm?id=611149763678
2023年3月20日18点36分11秒	264-验证码拦截https://item.taobao.com/item.htm?id=681016114858
2023年3月20日18点36分15秒	265-帝翰清蜂堂筋骨通林氏清风堂筋骨贴清峰堂冷敷贴颈椎肩周腰椎贴-tmall.com天猫https://item.taobao.com/item.htm?id=678141481120
2023年3月20日18点36分18秒	266-腰椎腰间盘肩周关点突节出颈椎禾贴膏刺专膏病滑用贴膜点炎-tmall.com天猫https://item.taobao.com/item.htm?id=636568607166
2023年3月20日18点36分22秒	267-远红外白云山肩周疼痛膏贴颈椎痛贴腰腿疼痛扭伤贴膏辅助治疗非药-tmall.com天猫https://item.taobao.com/item.htm?id=674031903006
2023年3月20日18点36分25秒	268-骨质增生膏膝盖腰椎足跟骨刺肩胛骨疼痛专用药贴去骨刺克星根神器-tmall.com天猫https://item.taobao.com/item.htm?id=664471317701
2023年3月20日18点36分28秒	269-强直性脊柱疼医用膏药贴晨僵腰酸背疼贴腰椎间盘劳损疼痛正品贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=666820414750
2023年3月20日18点36分32秒	270-验证码拦截https://item.taobao.com/item.htm?id=673763859972
2023年3月20日18点36分38秒	271-云南白药艾草贴艾灸肩颈贴腰椎贴膝盖贴颈椎贴艾叶热敷正品艾帖膏-tmall.com天猫https://item.taobao.com/item.htm?id=606401053743
2023年3月20日18点36分45秒	272-坐骨神经痛膏贴腰椎间盘压迫神经大腿小腿麻屁股疼双脚麻木-tmall.com天猫https://item.taobao.com/item.htm?id=682062496394
2023年3月20日18点36分48秒	273-磁疗艾灸贴膝盖贴腰椎艾草颈椎贴正品艾叶艾草温灸贴热肩颈hy-tmall.com天猫https://item.taobao.com/item.htm?id=668983984623
2023年3月20日18点36分54秒	274-验证码拦截https://item.taobao.com/item.htm?id=679565658684
2023年3月20日18点36分58秒	275-验证码拦截https://item.taobao.com/item.htm?id=682412777312
2023年3月20日18点37分1秒	276-国药公舒筋健腰贴腰椎间盘突出膨出坐骨神经腰痛腰疼贴劳损黑膏药-tmall.com天猫https://item.taobao.com/item.htm?id=619828686773
2023年3月20日18点37分4秒	277-日本腰椎管狭窄专用膏药贴腰间盘压迫神经腿麻屁股疼突出冷敷凝胶-tmall.com天猫https://item.taobao.com/item.htm?id=680430442043
2023年3月20日18点37分11秒	278-验证码拦截https://item.taobao.com/item.htm?id=645745871032
2023年3月20日18点37分14秒	279-布衣世慈冷敷贴肩周炎贴膏颈椎病腰椎间盘突出专用贴膏骨质增生贴-tmall.com天猫https://item.taobao.com/item.htm?id=641367143946
2023年3月20日18点37分21秒	280-验证码拦截https://item.taobao.com/item.htm?id=671175924647
2023年3月20日18点37分27秒	281-祖医堂腰椎部位型冷敷凝胶喷雾剂李时珍中医药旗舰店冷敷理疗膝盖-tmall.com天猫https://item.taobao.com/item.htm?id=667571878461
2023年3月20日18点37分34秒	282-日本监制】骨质增生专用膏药贴膝盖腰椎颈椎骨刺疼痛僵硬冷敷凝胶-tmall.com天猫https://item.taobao.com/item.htm?id=677812113237
2023年3月20日18点37分37秒	283-验证码拦截https://item.taobao.com/item.htm?id=631796322098
2023年3月20日18点37分41秒	284-黑蚂蚁透膏贴肩周炎颈椎病腰椎间盘突出风湿类关节膝盖痛专用贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=654364241936
2023年3月20日18点37分47秒	285-姚本仁藏药蛇骨膏远红外伤筋骨伤痛贴颈肩腰腿关节痛颈椎腰椎HY-tmall.com天猫https://item.taobao.com/item.htm?id=673771659443
2023年3月20日18点37分53秒	286-通奇正磁疗贴正品旗舰BZ-tmall.com天猫https://item.taobao.com/item.htm?id=642833039941
2023年3月20日18点38分0秒	287-仙草骨霸正品外用冷敷贴滑膜肩周颈椎贴腰椎间不适贴膏黑膏药-tmall.com天猫https://item.taobao.com/item.htm?id=597022428409
2023年3月20日18点38分3秒	288-【临期特价】邦瑞特发热艾灸贴腰腿颈椎保暖热敷膝盖关节疼艾草贴-tmall.com天猫https://item.taobao.com/item.htm?id=607202660707
2023年3月20日18点38分10秒	289-藏药麝香追风贴风湿骨痛膝盖关节骨头痛老虎牌腰椎颈椎止疼膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=671468454078
2023年3月20日18点38分13秒	290-粤嘉康颈椎腰椎膝盖关节贴间盘劳损突出肩周炎防护专用肩颈部痛疼-tmall.com天猫https://item.taobao.com/item.htm?id=676330070212
2023年3月20日18点38分20秒	291-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=684210257585
2023年3月20日18点38分23秒	292-腰椎贴膏腰间盘突出药膏压迫神经治疗腰疼腰痛膏贴老黑膏膏药-tmall.com天猫https://item.taobao.com/item.htm?id=634136964775
2023年3月20日18点38分27秒	293-蕲艾灸贴热灸颈椎腰椎艾草膝盖靳湖北蕲春艾叶艾炙帖发热精油艾贴-tmall.com天猫https://item.taobao.com/item.htm?id=592129019641
2023年3月20日18点38分30秒	294-科靓腱鞘医用冷敷凝胶颈椎腰椎肩周痛风足跟缓解疼痛膏炎正品贴-tmall.com天猫https://item.taobao.com/item.htm?id=651446690458
2023年3月20日18点38分33秒	295-南京同仁堂艾草颈椎贴官方旗舰店正品膝盖腰椎关节艾灸热敷发热-tmall.com天猫https://item.taobao.com/item.htm?id=653361351662
2023年3月20日18点38分40秒	296-艾草腰椎贴艾草贴腰部艾腰贴膝盖艾灸疼痛贴酸热敷官方旗舰店正品-tmall.com天猫https://item.taobao.com/item.htm?id=679439890112
2023年3月20日18点38分46秒	297-白云山艾草颈椎贴正品艾叶艾灸肩颈富贵腰椎生姜包膝盖热敷帖2115-tmall.com天猫https://item.taobao.com/item.htm?id=680193098069
2023年3月20日18点38分53秒	298-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=682898956980
2023年3月20日18点38分56秒	299-艾灸贴艾草艾叶膏药贴发热肩周颈椎腰椎间盘突出膝盖风湿止痛膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=662211631345
2023年3月20日18点39分3秒	300-验证码拦截https://item.taobao.com/item.htm?id=642727030685
2023年3月20日18点39分6秒	301-棘上韧带炎贴膏腰背肌筋膜炎腰椎胸椎疼痛腰肌劳损肌肉扭伤拉伤贴-tmall.com天猫https://item.taobao.com/item.htm?id=678123932947
2023年3月20日18点39分10秒	302-验证码拦截https://item.taobao.com/item.htm?id=645645032219
2023年3月20日18点39分16秒	303-验证码拦截https://item.taobao.com/item.htm?id=664848606527
2023年3月20日18点39分20秒	304-邵荣喜五行筋骨贴 疼痛贴 腰椎病型颈肩腰腿疼黑膏药第六代升级DY-tmall.com天猫https://item.taobao.com/item.htm?id=649016488685
2023年3月20日18点39分26秒	305-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=639385845652
2023年3月20日18点39分29秒	306-苗鲜之王艾草腰椎贴百年艾叶艾灸贴关节发热贴扁氏官网正品旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=627348066185
2023年3月20日18点39分36秒	307-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=656713857303
2023年3月20日18点39分39秒	308-正虎堂百年艾草肩周贴艾灸富贵包热敷帖膝盖腰椎颈椎正品生姜贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=623687869237
2023年3月20日18点39分45秒	309-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=647832296408
2023年3月20日18点39分52秒	310-腰间盘突出贴腰椎疼腿屁股痛压迫坐骨神经专用膏贴按摩通络膏-tmall.com天猫https://item.taobao.com/item.htm?id=681022201716
2023年3月20日18点39分58秒	311-蝎毒腰椎贴腰间盘专用膏药贴压迫神经突出腰疼屁股疼部位型热敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=659818332663
2023年3月20日18点40分5秒	312-艾慈灸肩周炎颈椎病专用贴膏腰肌劳损腰椎间盘突出关节疼痛膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=628749525216
2023年3月20日18点40分11秒	313-北京同仁堂 穴位压力刺激贴-tmall.com天猫https://item.taobao.com/item.htm?id=685591751910
2023年3月20日18点40分14秒	314-同仁堂穴位贴颈肩腰腿腰椎间盘突出骨质增生前列腺痛风鸡眼正品贴-tmall.com天猫https://item.taobao.com/item.htm?id=641972888382
2023年3月20日18点40分18秒	315-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=652535276578
2023年3月20日18点40分21秒	316-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=604531538929
2023年3月20日18点40分25秒	317-熨通磁热治疗贴5贴/盒 xh-tmall.com天猫https://item.taobao.com/item.htm?id=644558468412
2023年3月20日18点40分28秒	318-北京九溪堂苗帮正极贴膏正品冷敷贴肩周颈椎腰椎膝关节疼痛膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=600114092363
2023年3月20日18点40分32秒	319-武汉国灸镇痛灸腰痛颈肩老人腰椎间盘突出肩周炎脖子疼手麻腰疼贴-tmall.com天猫https://item.taobao.com/item.htm?id=676869379437
2023年3月20日18点40分35秒	320-百年扁氏艾草颈椎贴膝盖帖正品牛犇腰椎贴肩周贴腰间盘突出艾灸贴-tmall.com天猫https://item.taobao.com/item.htm?id=630325173604
2023年3月20日18点40分38秒	321-茗轩堂腰椎贴颈椎贴膏腰疼腰痛贴膏腰腿肘膝关节肩周辅助治疗膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=624422897029
2023年3月20日18点40分42秒	322-秦鲁九牛神远红外理疗贴骨质增生腰椎间盘突出风湿关节炎贴膏药DY-tmall.com天猫https://item.taobao.com/item.htm?id=649605457470
2023年3月20日18点40分45秒	323-验证码拦截https://item.taobao.com/item.htm?id=680427314861
2023年3月20日18点40分49秒	324-南京同仁堂艾草通用贴艾灸肩周贴艾叶颈椎腰椎膝盖正品官方旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=678269959536
2023年3月20日18点40分52秒	325-验证码拦截https://item.taobao.com/item.htm?id=670270363686
2023年3月20日18点40分59秒	326-艾草膝盖贴正品官网膝盖关节颈椎腰椎生姜艾灸贴护膝贴旗舰店mf-tmall.com天猫https://item.taobao.com/item.htm?id=613879295181
2023年3月20日18点41分2秒	327-验证码拦截https://item.taobao.com/item.htm?id=614094851387
2023年3月20日18点41分5秒	328-吕家贴医用冷敷贴官网吕家帖肩周炎腰椎颈椎病新吕家膏药膏传正品-tmall.com天猫https://item.taobao.com/item.htm?id=636122621256
2023年3月20日18点41分9秒	329-艾热灸顺芝堂自发热贴官方正品艾草肩颈腰椎不适宫寒膝盖热敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=601189549330
2023年3月20日18点41分12秒	330-一贴笑远红外贴盒颈肩腰腿贴颈椎贴腰椎腰疼膝关节痛贴膏药房1HY-tmall.com天猫https://item.taobao.com/item.htm?id=640733696405
2023年3月20日18点41分16秒	331-验证码拦截https://item.taobao.com/item.htm?id=673529929918
2023年3月20日18点41分22秒	332-万通筋骨贴官方旗舰正品疼痛膏贴XW-tmall.com天猫https://item.taobao.com/item.htm?id=660855631201
2023年3月20日18点41分25秒	333-验证码拦截https://item.taobao.com/item.htm?id=602443576076
2023年3月20日18点41分29秒	334-验证码拦截https://item.taobao.com/item.htm?id=616130180606
2023年3月20日18点41分35秒	335-李时珍膝盖部位型冷敷凝胶喷雾剂半月板损伤腰椎疼痛非专用药贴LZ-tmall.com天猫https://item.taobao.com/item.htm?id=680482164921
2023年3月20日18点41分39秒	336-验证码拦截https://item.taobao.com/item.htm?id=685457758595
2023年3月20日18点41分42秒	337-验证码拦截https://item.taobao.com/item.htm?id=675310142140
2023年3月20日18点41分48秒	338-妙三毛电视同款膏贴腰间盘突出腰肌劳损骨性关节炎伤湿镇痛贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=679006634042
2023年3月20日18点41分52秒	339-天猫旗舰店付济华通脉消痛贴颈椎腰椎间盘骨质突出增生膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=673566859280
2023年3月20日18点41分55秒	340-云南贝洋痛畀帖腰椎间盘突出膏贴成人腰腿疼痛腰间盘病型穴位贴-tmall.com天猫https://item.taobao.com/item.htm?id=554738605080
2023年3月20日18点41分59秒	341-日本骨质增生专用膏药贴膝盖关节颈椎腰椎膝盖足脚后跟刺痛冷敷贴-tmall.com天猫https://item.taobao.com/item.htm?id=641298753098
2023年3月20日18点42分2秒	342-同仁堂】舒骨质增生骨刺专门用贴膏一贴灵去膝盖腰椎颈椎疼痛根药-tmall.com天猫https://item.taobao.com/item.htm?id=684416010227
2023年3月20日18点42分8秒	343-蕲都御艾堂蕲艾艾草颈椎贴正品艾灸贴膝盖关节热敷发热肩颈腰椎贴-tmall.com天猫https://item.taobao.com/item.htm?id=614498764973
2023年3月20日18点42分12秒	344-晨洁 穴位敷贴颈肩腰腿贴颈椎腰椎肩周脚踝膝盖腿部缓解疼痛膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=581101775605
2023年3月20日18点42分15秒	345-左点艾灸贴随身灸家用艾柱艾草颈椎贴腰椎膝盖贴肚脐贴 古法悬灸-tmall.com天猫https://item.taobao.com/item.htm?id=623409552691
2023年3月20日18点42分22秒	346-白云山正品艾草富贵包贴艾叶艾灸颈椎贴肩颈腰椎热敷帖神1968-tmall.com天猫https://item.taobao.com/item.htm?id=678688115346
2023年3月20日18点42分25秒	347-茗轩堂腰椎贴颈椎贴膏腰疼腰痛贴肩周贴膏膝盖腿关节疼痛药店同款-tmall.com天猫https://item.taobao.com/item.htm?id=668661104484
2023年3月20日18点42分31秒	348-验证码拦截https://item.taobao.com/item.htm?id=637155146147
2023年3月20日18点42分35秒	349-李时珍活迈舒冷敷凝胶颈肩腰椎膝盖关节痛风专用贴芙官方正品堂LP-tmall.com天猫https://item.taobao.com/item.htm?id=686368082247
2023年3月20日18点42分38秒	350-它叶子蕲春艾灸贴颈椎贴暖宫发热敷肩周背腰椎艾艾贴艾草精油艾炙-tmall.com天猫https://item.taobao.com/item.htm?id=629978848095
2023年3月20日18点42分41秒	351-舒筋健腰贴腰椎间盘突出专用贴膏丸滑膜炎颈椎骨质增生腰肌劳损JW-tmall.com天猫https://item.taobao.com/item.htm?id=642197147599
2023年3月20日18点42分45秒	352-海旭 秦药公 远红外理疗贴 正品 一盒6贴-tmall.com天猫https://item.taobao.com/item.htm?id=575252185193
2023年3月20日18点42分48秒	353-朱氏堂颈椎病肩周炎腰椎腰间盘突出关节专用贴膏冷敷远红外磁疗贴-tmall.com天猫https://item.taobao.com/item.htm?id=562120815059
2023年3月20日18点42分55秒	354-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=676167741470
2023年3月20日18点42分58秒	355-修正腰肌劳损膏贴腰疼腰痛扭伤腰酸背痛可搭腰椎贴腰椎间盘贴膏治-tmall.com天猫https://item.taobao.com/item.htm?id=684344414977
2023年3月20日18点43分2秒	356-腰椎间盘突出压迫神经腿疼非治专用膏贴腿下肢疼痛麻木无力僵vv-tmall.com天猫https://item.taobao.com/item.htm?id=669476710075
2023年3月20日18点43分8秒	357-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=659237220783
2023年3月20日18点43分12秒	358-汉磁灸热贴 腰痛贴适用于腰肌劳损、腰椎间盘病变 1盒2贴装-tmall.com天猫https://item.taobao.com/item.htm?id=579554111850
2023年3月20日18点43分16秒	359-坐骨神经通络膏腰椎压迫神经腿臂骨刺痛麻木屁股疼专用膏药贴日本-tmall.com天猫https://item.taobao.com/item.htm?id=666758321861
2023年3月20日18点43分19秒	360-椎管狭窄专用膏药贴压迫神经腰疼下肢胀痛麻木腰椎部位型冷敷凝胶-tmall.com天猫https://item.taobao.com/item.htm?id=682818566093
2023年3月20日18点43分25秒	361-kanyumt康余医疗小黑蛇穴位压力刺激贴贴膏医用冷敷贴1盒3贴正品-tmall.com天猫https://item.taobao.com/item.htm?id=634719163488
2023年3月20日18点43分32秒	362-验证码拦截https://item.taobao.com/item.htm?id=658909151553
2023年3月20日18点43分38秒	363-验证码拦截https://item.taobao.com/item.htm?id=672728747735
2023年3月20日18点43分45秒	364-九洲福磁疗艾灸贴官网发热贴正品肩颈腰椎九州福草本玲珑灸贴-tmall.com天猫https://item.taobao.com/item.htm?id=595680369060
2023年3月20日18点43分51秒	365-艾慈灸穴位敷贴颈椎病肩周炎专用贴膏腰椎盘突出风湿关节炎药膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=643446255722
2023年3月20日18点43分54秒	366-艾灸贴颈椎肩颈热敷贴腰椎贴艾草膝盖贴官方旗舰店正品膝关节专用-tmall.com天猫https://item.taobao.com/item.htm?id=620906253922
2023年3月20日18点43分58秒	367-万通筋骨喷剂60ml腰椎间盘突出颈椎肩周腰疼腰肌劳损喷雾筋骨贴-tmall.com天猫https://item.taobao.com/item.htm?id=663775475875
2023年3月20日18点44分4秒	368-验证码拦截https://item.taobao.com/item.htm?id=665109431254
2023年3月20日18点44分8秒	369-越南红外军贴国产正品原装白虎膏筋骨关节腰椎颈椎疼痛膏药老虎贴-tmall.com天猫https://item.taobao.com/item.htm?id=687958919598
2023年3月20日18点44分14秒	370-南京同仁堂绿金家园艾草生姜贴颈椎膝盖肩周腰椎艾灸贴正品旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=631990799628
2023年3月20日18点44分29秒	1-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=656049028857
2023年3月20日18点44分30秒	2-腰痛灸腰间盘突出专用膏药腰肌劳损关节痛腰椎贴酸疼痛药正品1775-tmall.com天猫https://item.taobao.com/item.htm?id=684841565753
2023年3月20日18点44分31秒	3-腰肌劳损贴膏腰酸背痛腰部扭伤拉伤疼痛无力酸胀麻肿痛专用膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=686797148755
2023年3月20日18点44分33秒	4-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=684021640467
2023年3月20日18点44分34秒	5-绿金家园艾草颈椎贴膝盖腰椎贴富贵包生姜艾灸旗舰店YF-tmall.com天猫https://item.taobao.com/item.htm?id=685477771732
2023年3月20日18点44分38秒	6-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=685857207245
2023年3月20日18点44分40秒	7-南京同仁堂绿金家园艾草膝盖贴 艾草贴颈椎肩颈腰椎贴 艾灸关节贴-tmall.com天猫https://item.taobao.com/item.htm?id=685103590646
2023年3月20日18点44分41秒	8-百年扁氏艾草腰椎贴艾草贴艾灸发热肩周椎膝腰颈肩膝贴正品旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=602457991026
